X1,Price,Lot.Size,Waterfront,Age,Land.Value,New.Construct,Central.Air,Fuel.Type,Heat.Type,Sewer.Type,Living.Area,Pct.College,Bedrooms,Fireplaces,Bathrooms,Rooms,Fireplace,Beds
250,128850,0.92,No,16,5500,No,No,Electric,Electric,Private,824,45,3,None,1.5,5,No,3
251,208700,0.4,No,0,15000,No,No,Gas,Hot Air,Public,2458,64,4,1,2.5,9,Yes,4 or more
252,139900,0.36,No,22,10500,No,No,Electric,Electric,Public,1324,64,3,None,1.0,4,No,3
253,350000,5.84,No,12,20000,No,Yes,Gas,Hot Air,Public,2916,64,3,1,2.5,9,Yes,3
254,108000,0.16,No,19,15100,No,No,Electric,Electric,Public,1032,52,2,None,1.5,4,No,2 or fewer
255,115500,0.15,No,16,15700,No,No,Electric,Electric,Public,912,52,2,1,1.5,4,Yes,2 or fewer
256,135000,0.98,No,35,19600,No,No,Electric,Electric,Private,1320,52,2,None,1.0,3,No,2 or fewer
257,135000,0.33,No,17,27000,No,No,Gas,Hot Air,Public,1508,52,3,1,1.5,8,Yes,3
258,107400,0.16,No,16,15700,No,No,Electric,Electric,Public,912,52,2,1,1.5,7,Yes,2 or fewer
259,233000,0.09,No,12,31200,No,Yes,Gas,Hot Air,Private,2040,52,4,1,2.5,7,Yes,4 or more
260,105000,0.16,No,17,15700,No,No,Electric,Electric,Public,912,52,2,1,1.5,5,Yes,2 or fewer
261,335000,3.0,No,10,53600,No,Yes,Oil,Hot Air,Public,1776,52,2,None,2.0,6,No,2 or fewer
262,139000,0.58,No,25,25000,No,No,Electric,Electric,Public,1304,64,3,None,2.0,8,No,3
263,209500,0.42,No,10,26200,No,Yes,Gas,Hot Air,Private,1836,64,4,1,2.5,8,Yes,4 or more
264,101000,0.17,No,18,15800,No,No,Electric,Electric,Public,912,52,2,None,2.0,3,No,2 or fewer
265,77500,0.16,No,19,15700,No,No,Electric,Electric,Public,912,52,2,None,1.5,6,No,2 or fewer
266,150500,0.31,No,16,27000,No,No,Electric,Electric,Public,1527,52,2,1,2.0,7,Yes,2 or fewer
267,167000,0.99,No,17,5700,No,No,Electric,Electric,Private,1454,39,3,None,1.5,7,No,3
268,114000,0.26,No,26,4600,No,No,Oil,Hot Water,Public,1700,39,3,1,1.5,4,Yes,3
269,160000,0.45,No,27,7000,No,No,Electric,Electric,Public,1680,45,4,None,1.0,9,No,4 or more
270,85000,0.49,No,0,13000,No,Yes,Gas,Hot Air,Public,2401,64,4,1,2.5,10,Yes,4 or more
271,143000,0.35,No,21,11000,No,No,Electric,Electric,Public,1176,64,3,None,1.0,7,No,3
272,126000,0.4,No,24,9800,No,No,Electric,Electric,Public,1344,64,3,1,1.5,7,Yes,3
273,140000,0.48,No,23,10400,No,No,Electric,Electric,Public,1344,64,3,None,1.5,8,No,3
274,140000,0.35,No,9,13000,No,No,Gas,Hot Water,Private,1714,64,3,None,2.5,8,No,3
275,205000,0.25,No,20,29000,No,No,Gas,Hot Air,Public,1992,64,4,1,3.0,9,Yes,4 or more
276,79900,0.12,No,19,18200,No,Yes,Gas,Hot Air,Public,924,64,2,None,1.0,7,No,2 or fewer
277,139000,0.09,No,24,17600,No,Yes,Gas,Hot Air,Public,1290,64,2,1,1.5,3,Yes,2 or fewer
278,190000,0.46,No,36,27400,No,No,Gas,Hot Water,Public,2521,64,4,1,2.5,10,Yes,4 or more
279,151500,0.71,No,58,22700,No,No,Oil,Hot Water,Public,1377,82,3,1,1.5,7,Yes,3
280,97500,0.06,No,19,16400,No,Yes,Gas,Hot Air,Public,1237,64,2,1,1.5,6,Yes,2 or fewer
281,194500,0.61,No,41,32300,No,Yes,Gas,Hot Water,Public,2310,64,4,1,2.5,7,Yes,4 or more
282,195160,0.32,No,0,35000,No,No,Gas,Hot Air,Public,1863,64,3,1,2.5,9,Yes,3
283,152500,0.37,No,26,37500,No,Yes,Gas,Hot Air,Public,1693,64,3,1,1.5,8,Yes,3
284,159500,0.29,No,26,31400,No,Yes,Gas,Hot Air,Public,1684,64,3,1,2.5,4,Yes,3
285,185000,0.95,No,16,40900,No,Yes,Electric,Electric,Public,1585,64,3,1,1.5,4,Yes,3
286,240000,0.67,No,8,72400,No,Yes,Gas,Hot Air,Public,2290,64,4,1,3.0,9,Yes,4 or more
287,187900,0.4,No,32,30000,No,Yes,Gas,Hot Air,Public,2464,64,5,1,2.5,9,Yes,4 or more
288,262000,0.29,No,5,29000,No,Yes,Gas,Hot Air,Public,2549,64,4,1,2.5,12,Yes,4 or more
289,212500,0.35,No,6,36500,No,Yes,Gas,Hot Air,Public,2316,64,4,1,2.5,7,Yes,4 or more
290,220000,0.37,No,18,43000,No,Yes,Gas,Hot Air,Private,2600,64,4,1,2.5,8,Yes,4 or more
291,245000,0.53,No,15,65800,No,Yes,Gas,Hot Air,Public,2677,64,4,1,2.5,10,Yes,4 or more
292,120000,0.06,No,19,16400,No,Yes,Electric,Electric,Public,1479,64,3,None,1.5,4,No,3
293,102500,0.15,No,16,18500,No,Yes,Electric,Electric,Public,1138,64,2,None,1.0,7,No,2 or fewer
294,136000,0.27,No,24,18900,No,No,Gas,Hot Water,Public,1576,64,3,None,2.5,4,No,3
295,212500,0.43,No,10,52200,No,Yes,Gas,Hot Air,Public,2084,82,4,1,2.5,9,Yes,4 or more
296,205900,0.06,No,26,35900,No,Yes,Gas,Hot Air,Public,1726,64,3,1,2.0,8,Yes,3
297,259900,1.0,No,2,49900,No,Yes,Gas,Hot Air,Private,1851,71,2,2 or more,2.0,4,Yes,2 or fewer
298,191500,0.46,No,30,27400,No,No,Gas,Hot Air,Public,2310,64,5,1,2.5,12,Yes,4 or more
299,272500,0.03,No,0,56800,No,No,Gas,Hot Air,Public,2930,64,4,1,2.5,12,Yes,4 or more
300,191500,0.88,No,33,35900,No,No,Gas,Hot Water,Public,2576,64,4,1,2.5,10,Yes,4 or more
301,158000,0.55,No,36,30500,No,No,Gas,Hot Water,Public,1664,64,3,1,2.0,8,Yes,3
302,195000,1.0,No,24,46000,No,No,Electric,Electric,Private,1237,64,2,None,1.5,3,No,2 or fewer
303,187500,0.43,No,29,31400,No,Yes,Gas,Hot Air,Public,2662,64,5,1,2.5,9,Yes,4 or more
304,160000,0.45,No,35,32300,No,No,Gas,Hot Air,Public,1575,64,3,1,1.5,7,Yes,3
305,137500,0.1,No,12,18000,No,Yes,Gas,Hot Air,Public,1566,64,2,None,1.5,7,No,2 or fewer
306,109900,0.09,No,16,17600,No,Yes,Gas,Hot Air,Public,1326,64,2,1,1.5,4,Yes,2 or fewer
307,85000,0.09,No,18,17600,No,No,Gas,Hot Water,Public,1480,64,3,None,1.5,8,No,3
308,184350,0.59,No,0,38400,No,No,Gas,Hot Air,Public,2161,64,4,1,2.5,11,Yes,4 or more
309,134500,0.16,No,10,18600,No,Yes,Gas,Hot Air,Public,1352,64,2,1,1.5,3,Yes,2 or fewer
310,154900,0.51,No,33,34600,No,Yes,Gas,Hot Air,Public,1648,64,3,None,1.5,8,No,3
311,255000,0.46,No,25,60500,No,Yes,Gas,Hot Air,Public,2936,64,3,1,3.5,12,Yes,3
312,238600,0.46,No,1,36400,No,No,Gas,Hot Air,Public,2404,64,4,1,2.5,10,Yes,4 or more
313,106000,0.42,No,36,30900,No,No,Gas,Hot Air,Public,1738,64,3,None,1.5,9,No,3
314,625000,0.45,No,14,119500,No,Yes,Gas,Hot Air,Public,5228,64,4,2 or more,4.0,12,Yes,4 or more
315,195000,0.55,No,34,30500,No,No,Gas,Hot Water,Public,2576,64,4,1,2.5,12,Yes,4 or more
316,168500,0.44,No,34,31800,No,No,Gas,Hot Air,Public,1586,64,3,1,1.5,7,Yes,3
317,87000,0.06,No,19,16400,No,No,Electric,Electric,Public,1480,64,3,None,1.5,5,No,3
318,215000,0.5,No,15,37000,No,No,Gas,Hot Air,Public,1917,64,4,1,2.5,7,Yes,4 or more
319,197500,0.3,No,30,24500,No,Yes,Gas,Hot Air,Public,1938,64,3,1,1.5,9,Yes,3
320,215000,0.33,No,3,11600,No,Yes,Gas,Hot Air,Public,2110,64,4,1,2.5,8,Yes,4 or more
321,118000,0.14,No,19,18400,No,No,Gas,Hot Air,Public,1479,64,3,None,1.5,5,No,3
322,187900,0.69,No,34,34700,No,No,Gas,Hot Water,Public,2576,64,5,1,2.5,9,Yes,4 or more
323,275000,0.38,No,18,60800,No,Yes,Gas,Hot Air,Public,2445,82,4,2 or more,2.5,9,Yes,4 or more
324,249900,0.74,No,14,73800,No,Yes,Gas,Hot Air,Public,2185,64,3,1,2.5,7,Yes,3
325,270000,0.38,No,18,82800,No,Yes,Electric,Hot Air,Private,2078,64,4,1,2.5,8,Yes,4 or more
326,157900,0.38,No,37,29100,No,No,Gas,Hot Air,Public,1674,64,3,1,1.5,5,Yes,3
327,120000,0.29,No,19,20300,No,No,Electric,Electric,Public,1228,64,4,None,1.5,9,No,4 or more
328,126400,0.28,No,22,19500,No,Yes,Electric,Electric,Public,1375,64,2,1,1.5,7,Yes,2 or fewer
329,220000,0.54,No,16,30200,No,Yes,Gas,Hot Air,Public,1650,64,3,1,2.0,5,Yes,3
330,180000,0.26,No,31,21900,No,Yes,Gas,Hot Air,Public,1718,64,3,1,1.5,9,Yes,3
331,203600,0.59,No,33,31700,No,No,Gas,Hot Water,Public,2576,64,4,1,2.5,9,Yes,4 or more
332,249900,0.37,No,4,37500,No,No,Gas,Hot Air,Public,2280,64,4,1,2.5,7,Yes,4 or more
333,193000,0.4,No,18,25000,No,No,Gas,Hot Water,Public,2088,64,4,1,2.5,10,Yes,4 or more
334,215000,0.5,No,15,37000,No,No,Gas,Hot Air,Public,1917,64,4,1,2.5,9,Yes,4 or more
335,201000,0.54,No,29,30200,No,No,Gas,Hot Water,Public,3140,64,5,1,3.5,10,Yes,4 or more
336,65000,0.22,No,73,6900,No,No,Gas,Hot Air,Private,1029,82,3,None,1.0,4,No,3
337,195000,0.35,No,36,39800,No,Yes,Gas,Hot Air,Public,1896,64,4,1,2.5,7,Yes,4 or more
338,215900,0.52,No,38,29600,No,No,Gas,Hot Water,Public,2310,64,5,1,2.5,9,Yes,4 or more
339,92000,0.31,No,17,19600,No,No,Electric,Electric,Public,924,64,2,1,1.0,6,Yes,2 or fewer
340,155000,0.38,No,25,38000,No,Yes,Gas,Electric,Public,2080,64,3,1,2.5,9,Yes,3
341,123500,0.08,No,22,17200,No,Yes,Electric,Electric,Public,1237,64,3,1,1.5,4,Yes,3
342,110400,0.1,No,29,18000,No,Yes,Gas,Hot Air,Public,1287,64,3,None,1.5,5,No,3
343,198900,0.44,No,18,33200,No,No,Gas,Hot Water,Public,1847,64,3,1,2.5,7,Yes,3
344,150000,0.26,No,49,41900,No,Yes,Gas,Hot Air,Private,1064,64,3,None,1.0,8,No,3
345,104000,0.07,No,18,16800,No,Yes,Gas,Hot Air,Public,1480,64,3,1,1.5,4,Yes,3
346,245000,0.48,No,23,48500,No,Yes,Gas,Hot Air,Public,2462,64,5,2 or more,3.5,8,Yes,4 or more
347,180000,0.41,No,17,25400,No,No,Gas,Hot Water,Public,2228,64,3,1,2.5,7,Yes,3
348,154300,0.42,No,61,14700,No,No,Gas,Hot Water,Private,1260,82,3,None,1.0,8,No,3
349,170000,0.45,No,30,30000,No,No,Gas,Hot Air,Public,1559,64,4,1,2.5,5,Yes,4 or more
350,219000,0.6,No,25,71000,No,Yes,Gas,Hot Air,Public,1980,64,4,1,2.5,10,Yes,4 or more
351,295000,0.95,No,9,78000,No,No,Gas,Hot Air,Private,2380,82,3,1,2.5,6,Yes,3
352,181500,0.56,No,27,30800,No,No,Gas,Hot Water,Public,1887,64,4,1,2.5,8,Yes,4 or more
353,260000,1.25,No,133,43500,No,No,Gas,Hot Water,Private,2185,64,4,1,1.5,11,Yes,4 or more
354,239900,0.7,No,15,69400,No,Yes,Electric,Electric,Public,2488,64,4,1,2.5,7,Yes,4 or more
355,135500,0.67,No,56,21100,No,No,Gas,Hot Air,Private,1152,64,1,None,2.0,3,No,2 or fewer
356,191500,0.66,No,15,32100,No,No,Gas,Hot Water,Public,2025,64,4,1,2.5,9,Yes,4 or more
357,225000,0.62,No,37,32600,No,No,Gas,Hot Water,Public,2521,64,5,1,2.5,12,Yes,4 or more
358,98500,0.08,No,18,17200,No,Yes,Gas,Hot Air,Public,1480,64,3,None,1.5,4,No,3
359,110500,0.08,No,17,17200,No,Yes,Gas,Hot Air,Public,1480,64,3,1,1.5,5,Yes,3
360,290000,0.51,No,7,39100,No,No,Gas,Hot Air,Public,2362,64,4,1,2.5,8,Yes,4 or more
361,184400,0.28,No,31,23200,No,Yes,Gas,Hot Air,Public,1910,64,3,1,1.5,7,Yes,3
362,178500,1.0,No,12,32000,No,No,Oil,Hot Air,Private,1952,71,3,2 or more,2.0,9,Yes,3
363,415000,0.58,No,9,86400,No,Yes,Gas,Hot Air,Public,3358,64,4,1,3.5,12,Yes,4 or more
364,244900,0.43,No,26,39000,No,Yes,Gas,Hot Air,Public,2090,64,4,1,2.5,7,Yes,4 or more
365,150000,0.55,No,35,33000,No,Yes,Gas,Hot Air,Public,1965,64,5,1,2.0,11,Yes,4 or more
366,168000,0.49,No,33,34100,No,Yes,Gas,Hot Air,Public,2110,64,4,1,1.5,9,Yes,4 or more
367,159000,0.39,No,43,29600,No,No,Gas,Hot Air,Private,1456,64,4,None,2.5,9,No,4 or more
368,127000,0.06,No,18,16400,No,No,Gas,Hot Air,Public,1479,64,3,None,1.5,7,No,3
369,175000,0.46,No,29,27400,No,No,Gas,Hot Water,Public,1874,64,4,1,2.5,7,Yes,4 or more
370,255250,0.5,No,0,17500,No,No,Gas,Hot Air,Public,2099,64,4,1,2.5,8,Yes,4 or more
371,175000,0.6,No,33,32000,No,No,Gas,Hot Water,Public,1872,64,3,1,2.5,8,Yes,3
372,235000,0.41,No,17,44300,No,Yes,Electric,Electric,Public,2388,64,4,1,2.5,11,Yes,4 or more
373,324000,0.53,No,18,65800,No,Yes,Gas,Hot Air,Public,2812,64,4,1,2.5,12,Yes,4 or more
374,173000,0.21,No,11,19100,No,No,Gas,Hot Air,Public,1064,64,2,1,2.0,4,Yes,2 or fewer
375,116900,0.06,No,20,16400,No,Yes,Gas,Hot Air,Public,1375,64,2,None,1.5,7,No,2 or fewer
376,105900,0.09,No,19,17600,No,No,Electric,Hot Air,Public,1480,64,3,None,1.5,5,No,3
377,112000,0.13,No,25,18300,No,Yes,Gas,Hot Air,Public,1260,64,2,1,1.5,5,Yes,2 or fewer
378,235000,0.72,No,15,40300,No,Yes,Gas,Hot Air,Public,2086,64,3,1,2.5,5,Yes,3
379,235000,1.0,No,9,43900,No,No,Oil,Hot Air,Private,2588,64,4,1,2.5,12,Yes,4 or more
380,130000,0.18,No,18,18800,No,No,Electric,Electric,Public,1480,64,3,None,1.5,4,No,3
381,235000,0.74,No,10,35700,No,No,Gas,Hot Air,Public,1752,64,3,1,2.5,7,Yes,3
382,191900,0.48,No,32,28200,No,No,Gas,Hot Water,Public,2660,64,4,1,2.5,11,Yes,4 or more
383,284900,0.58,No,20,69500,No,Yes,Gas,Hot Air,Public,2417,64,3,1,2.5,9,Yes,3
384,335000,0.01,No,21,79100,No,Yes,Gas,Hot Air,Public,2793,64,3,1,2.5,7,Yes,3
385,140000,1.0,No,78,21200,No,No,Oil,Hot Water,Private,1152,64,2,None,1.0,6,No,2 or fewer
386,191000,0.41,No,29,25400,No,No,Gas,Hot Water,Public,2344,64,4,1,2.5,9,Yes,4 or more
387,153000,0.51,No,33,34600,No,Yes,Gas,Hot Air,Public,1926,64,4,1,1.5,6,Yes,4 or more
388,196000,0.55,No,35,34800,No,Yes,Gas,Hot Air,Public,2208,64,4,1,2.5,9,Yes,4 or more
389,248000,0.46,No,16,60500,No,Yes,Gas,Hot Air,Public,2208,64,3,1,2.5,7,Yes,3
390,240000,0.6,No,35,32000,No,No,Gas,Hot Water,Public,2708,64,5,2 or more,2.5,12,Yes,4 or more
391,132000,0.19,No,18,18900,No,Yes,Gas,Hot Air,Public,1142,64,3,None,1.5,6,No,3
392,199000,1.42,No,32,48300,No,Yes,Gas,Hot Air,Private,2529,64,3,1,2.0,7,Yes,3
393,217000,0.69,No,20,35500,No,No,Electric,Electric,Private,1797,64,4,None,2.0,9,No,4 or more
394,167000,0.51,No,31,34600,No,No,Gas,Hot Air,Public,1611,64,3,1,1.5,4,Yes,3
395,245000,0.29,No,13,31400,No,Yes,Gas,Hot Air,Public,2576,64,4,1,2.5,10,Yes,4 or more
396,358000,0.06,No,10,79600,No,Yes,Gas,Hot Air,Private,2653,82,4,None,2.5,10,No,4 or more
397,412500,0.6,No,13,88000,No,Yes,Gas,Hot Water,Public,3896,64,5,2 or more,4.5,12,Yes,4 or more
398,208000,0.53,No,16,37500,No,Yes,Gas,Hot Air,Public,1585,64,3,1,1.0,6,Yes,3
399,270000,0.38,No,10,38000,No,Yes,Gas,Hot Air,Public,2774,64,4,1,2.5,8,Yes,4 or more
400,100000,0.74,No,54,28300,No,No,Gas,Hot Air,Private,1283,64,2,1,1.0,3,Yes,2 or fewer
401,130000,0.56,No,29,34800,No,No,Oil,Hot Air,Private,1136,64,3,None,1.0,6,No,3
402,182500,0.71,No,32,35100,No,No,Gas,Hot Water,Public,1896,64,4,1,2.5,6,Yes,4 or more
403,139000,2.84,No,55,60200,No,No,Gas,Hot Water,Private,1536,64,2,1,1.0,7,Yes,2 or fewer
404,104000,0.09,No,19,17600,No,No,Electric,Electric,Public,1480,64,3,1,1.5,5,Yes,3
405,221000,0.52,No,14,37300,No,Yes,Gas,Hot Air,Public,2096,64,4,1,2.5,8,Yes,4 or more
406,260000,1.0,No,8,40200,No,Yes,Gas,Hot Air,Public,2324,64,4,None,2.5,7,No,4 or more
407,182500,0.5,No,29,29000,No,No,Gas,Hot Water,Public,2079,64,4,1,2.5,7,Yes,4 or more
408,196000,0.43,No,33,31400,No,Yes,Gas,Hot Air,Public,1911,64,4,1,1.5,10,Yes,4 or more
409,132000,0.09,No,18,17600,No,Yes,Gas,Hot Air,Public,1480,64,3,1,1.5,7,Yes,3
410,224900,0.11,No,25,32900,No,No,Gas,Hot Water,Private,2208,64,4,1,2.5,10,Yes,4 or more
411,199900,0.24,No,9,28000,No,No,Gas,Hot Air,Public,1462,64,3,None,2.5,7,No,3
412,165835,0.39,No,38,29600,No,No,Gas,Hot Air,Private,1794,64,4,1,1.5,10,Yes,4 or more
413,189000,0.8,No,38,35500,No,No,Gas,Hot Water,Public,1886,64,4,1,2.5,9,Yes,4 or more
414,89900,0.19,No,19,13300,No,No,Electric,Electric,Public,1080,64,3,None,1.5,7,No,3
415,235000,0.59,No,34,31700,No,Yes,Gas,Hot Water,Public,2576,64,5,1,3.0,11,Yes,4 or more
416,166000,0.48,No,26,31200,No,No,Gas,Hot Water,Public,1508,64,4,1,1.5,5,Yes,4 or more
417,153100,0.46,No,35,32700,No,No,Gas,Hot Air,Public,1672,64,4,1,1.0,5,Yes,4 or more
418,162000,0.4,No,35,30000,No,Yes,Gas,Hot Air,Public,1739,64,4,1,1.5,9,Yes,4 or more
419,224000,0.52,No,40,29600,No,No,Gas,Hot Water,Private,3074,64,7,1,2.5,12,Yes,4 or more
420,222400,0.86,No,3,35600,No,No,Gas,Hot Air,Private,1976,64,3,1,2.5,8,Yes,3
421,199000,0.46,No,37,27400,No,No,Gas,Hot Water,Public,2302,64,4,1,2.5,8,Yes,4 or more
422,166000,0.95,No,13,9500,No,Yes,Gas,Hot Air,Private,1480,51,3,1,2.0,4,Yes,3
423,149900,0.63,No,11,17900,No,No,Gas,Hot Water,Public,960,54,2,None,2.0,5,No,2 or fewer
424,152000,0.42,No,16,17400,No,No,Electric,Electric,Private,1582,36,3,None,1.5,8,No,3
425,162500,0.34,No,154,11900,No,No,Oil,Hot Air,Public,1600,54,4,None,1.0,7,No,4 or more
426,274900,0.5,No,5,4000,No,No,Gas,Hot Air,Public,2320,54,4,None,2.5,9,No,4 or more
427,100000,0.2,No,14,7200,No,No,Gas,Hot Water,Public,1034,54,2,None,1.5,5,No,2 or fewer
428,215000,2.96,No,19,11000,No,No,Electric,Electric,Private,1488,57,3,None,1.5,8,No,3
429,124000,1.0,No,17,3500,No,No,Electric,Electric,Private,1056,57,3,None,1.0,8,No,3
430,125000,1.0,No,128,16200,No,No,Oil,Hot Air,Private,864,57,3,None,1.0,6,No,3
431,138000,1.0,No,19,17600,No,No,Electric,Electric,Private,1552,57,3,1,2.0,4,Yes,3
432,225000,0.52,No,11,18200,No,No,Gas,Hot Air,Public,1816,57,3,1,1.5,6,Yes,3
433,180000,0.48,No,20,12500,No,Yes,Gas,Hot Air,Private,1530,57,3,1,2.0,6,Yes,3
434,189900,0.33,No,14,11900,No,Yes,Gas,Hot Air,Public,1756,54,4,None,2.0,8,No,4 or more
435,435000,1.0,No,25,25000,No,No,Gas,Hot Water,Private,4211,57,5,2 or more,3.5,12,Yes,4 or more
436,120000,2.6,No,10,20200,No,No,Oil,Hot Air,Private,2206,57,3,1,2.5,7,Yes,3
437,163000,0.15,Yes,64,36000,No,No,Oil,Hot Air,Public,1092,36,2,None,1.0,6,No,2 or fewer
438,131000,2.8,No,114,28300,No,No,Oil,Hot Water,Private,1594,36,7,None,1.0,10,No,4 or more
439,126500,0.08,No,15,2100,No,No,Gas,Hot Air,Public,1480,54,3,1,2.5,8,Yes,3
440,122500,0.14,No,15,3200,No,Yes,Gas,Hot Air,Public,1480,54,3,1,1.5,4,Yes,3
441,425000,0.46,No,88,19700,No,Yes,Gas,Hot Air,Private,3003,57,4,1,3.5,12,Yes,4 or more
442,225000,0.63,No,54,9500,No,No,Oil,Hot Water,Private,2164,57,2,None,1.5,7,No,2 or fewer
443,209000,3.8,No,19,14400,No,No,Oil,Hot Water,Private,1519,57,2,None,1.0,3,No,2 or fewer
444,189100,0.46,No,15,15700,No,Yes,Oil,Hot Air,Private,1604,57,3,1,2.5,4,Yes,3
445,285000,0.98,No,25,15900,No,No,Electric,Electric,Private,1400,57,3,1,2.0,5,Yes,3
446,266600,1.0,No,12,20300,No,No,Gas,Hot Air,Private,1752,57,4,None,1.0,7,No,4 or more
447,80000,1.0,No,32,20300,No,No,Electric,Electric,Private,880,57,2,None,1.5,6,No,2 or fewer
448,225000,6.07,No,14,25700,No,No,Oil,Hot Air,Private,1240,57,3,None,2.0,5,No,3
449,159000,0.03,No,17,18800,No,No,Gas,Hot Air,Private,1514,36,3,1,1.5,8,Yes,3
450,119900,0.18,No,2,15000,No,Yes,Gas,Hot Air,Public,840,36,1,None,1.0,6,No,2 or fewer
451,130900,0.11,No,1,15000,No,Yes,Gas,Hot Air,Public,840,36,2,None,1.0,3,No,2 or fewer
452,194670,0.28,No,124,7400,No,No,Gas,Hot Air,Public,2592,36,4,None,1.5,12,No,4 or more
453,72000,0.18,No,121,7300,No,No,Gas,Hot Air,Public,1010,36,3,None,1.0,7,No,3
454,144700,0.16,No,2,15000,No,No,Gas,Hot Air,Public,1380,36,3,None,1.5,6,No,3
455,139500,0.15,No,3,15000,No,Yes,Gas,Hot Air,Public,1366,36,3,None,1.5,8,No,3
456,319000,0.5,Yes,5,40200,No,Yes,Gas,Hot Air,Public,1681,57,3,1,2.5,4,Yes,3
457,348000,3.68,No,14,27200,No,No,Oil,Hot Water,Private,2037,36,3,1,2.0,9,Yes,3
458,189900,0.98,No,16,11200,No,No,Oil,Hot Water,Private,2570,36,3,None,1.5,10,No,3
459,20000,0.52,No,59,8000,No,No,Oil,Hot Air,Private,936,20,2,None,1.0,4,No,2 or fewer
460,60000,0.01,No,13,1200,No,No,Gas,Hot Water,Public,960,41,2,None,1.5,7,No,2 or fewer
461,179500,0.91,No,11,3200,No,No,Oil,Hot Air,Private,1352,30,3,1,1.5,5,Yes,3
462,133300,0.34,No,118,6200,No,No,Gas,Hot Water,Public,1060,41,4,None,1.0,8,No,4 or more
463,153000,2.06,No,6,40100,No,No,Oil,Hot Air,Private,1508,30,3,None,2.0,5,No,3
464,111900,0.35,No,54,19600,No,No,Oil,Hot Air,Private,1272,60,4,1,1.5,9,Yes,4 or more
465,187000,0.47,No,18,18800,No,No,Oil,Hot Water,Private,2389,27,6,None,3.0,11,No,4 or more
466,158500,0.7,No,17,28800,No,No,Gas,Hot Air,Private,1210,60,2,1,1.0,4,Yes,2 or fewer
467,153000,0.39,No,52,21800,No,No,Oil,Hot Air,Private,1230,60,3,1,1.0,6,Yes,3
468,190000,0.52,No,47,28100,No,No,Oil,Hot Air,Private,1832,60,4,1,2.0,8,Yes,4 or more
469,242000,1.27,No,27,34200,No,No,Oil,Hot Water,Private,1854,60,3,1,1.5,8,Yes,3
470,234500,2.0,No,164,40000,No,No,Oil,Hot Air,Private,2268,60,3,None,2.5,10,No,3
471,225000,0.68,No,29,28700,No,No,Oil,Hot Air,Private,1807,60,3,1,1.5,8,Yes,3
472,165000,0.38,No,48,21300,No,No,Gas,Hot Air,Private,1272,60,4,1,1.5,5,Yes,4 or more
473,129900,0.28,No,12,4800,No,Yes,Gas,Hot Air,Public,1560,47,3,1,1.0,8,Yes,3
474,315000,0.07,No,15,200,No,Yes,Gas,Hot Air,Public,1863,47,3,1,3.5,7,Yes,3
475,129900,0.24,Yes,64,1400,No,No,Oil,Hot Air,Private,1120,47,2,None,1.0,3,No,2 or fewer
476,257000,0.26,No,15,700,No,Yes,Gas,Hot Air,Public,1832,47,2,1,2.5,8,Yes,2 or fewer
477,324000,3.64,No,0,7400,No,Yes,Oil,Hot Air,Public,2092,47,4,1,2.5,8,Yes,4 or more
478,520000,0.41,No,13,3100,No,No,Oil,Hot Air,Public,2702,47,3,1,2.5,11,Yes,3
479,150414,0.46,No,32,5800,No,No,Oil,Hot Water,Public,1040,47,3,1,1.5,5,Yes,3
480,290000,0.15,No,13,400,No,Yes,Gas,Hot Air,Public,1758,47,2,1,2.5,6,Yes,2 or fewer
481,112000,0.16,No,116,6800,No,No,Oil,Hot Air,Public,2326,27,3,None,2.0,7,No,3
482,185000,1.0,No,13,13700,No,No,Electric,Electric,Private,2340,27,3,None,1.5,8,No,3
483,295000,2.61,No,1,15700,No,No,Oil,Hot Water,Private,2058,27,3,1,2.5,9,Yes,3
484,290000,1.0,Yes,33,21700,No,No,Oil,Hot Air,Private,944,27,1,1,1.0,4,Yes,2 or fewer
485,79900,0.19,No,44,9100,No,No,Electric,Electric,Private,640,20,2,None,1.0,6,No,2 or fewer
486,256000,0.83,No,6,14700,No,Yes,Gas,Hot Air,Private,2353,60,4,1,2.5,8,Yes,4 or more
487,245000,1.0,No,7,17800,No,No,Gas,Hot Water,Private,2038,54,4,1,2.5,7,Yes,4 or more
488,140000,0.42,No,32,18500,No,Yes,Gas,Hot Air,Private,1469,60,4,None,1.5,9,No,4 or more
489,272000,0.87,No,10,41100,No,No,Gas,Hot Air,Public,2219,63,3,1,2.0,10,Yes,3
490,164000,0.68,No,16,19900,No,No,Gas,Hot Air,Public,1774,54,4,None,2.0,7,No,4 or more
491,182500,0.38,No,51,14600,No,Yes,Oil,Hot Air,Private,1296,60,4,1,2.0,9,Yes,4 or more
492,219900,1.1,No,124,20100,No,No,Oil,Hot Water,Private,2289,60,4,1,1.5,9,Yes,4 or more
493,325000,0.8,No,134,18100,No,No,Gas,Hot Air,Private,2463,60,5,2 or more,2.5,12,Yes,4 or more
494,352000,0.95,No,2,49200,No,Yes,Oil,Hot Air,Private,3126,54,4,None,2.5,12,No,4 or more
495,315000,4.1,No,15,26600,No,No,Oil,Hot Water,Private,2550,54,3,None,2.5,7,No,3
496,154000,0.34,No,49,13100,No,Yes,Oil,Hot Air,Private,1182,60,2,None,1.0,6,No,2 or fewer
497,199000,0.09,No,48,15800,No,Yes,Oil,Hot Air,Private,1890,60,4,1,2.0,7,Yes,4 or more
