"","case.id","sex","length","diameter","height","whole.weight","shucked.weight","viscera.weight","shell.weight","rings"
"3888",3889,"F",0.575,0.45,0.1,0.9315,0.431,0.222,0.235,12
"4065",4067,"I",0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7
"3722",3723,"I",0.465,0.36,0.105,0.452,0.22,0.159,0.1035,9
"3795",3796,"M",0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,12
"677",677,"M",0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12
"2078",2079,"M",0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372,8
"1473",1474,"F",0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
"2591",2592,"F",0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,8
"3861",3862,"F",0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,14
"1797",1798,"I",0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8
"658",658,"F",0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16
"1413",1414,"M",0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,13
"2776",2777,"M",0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10
"1860",1861,"I",0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10
"244",244,"I",0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
"3000",3001,"M",0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,9
"4098",4100,"M",0.67,0.525,0.18,1.4915,0.728,0.343,0.381,9
"3749",3750,"I",0.43,0.33,0.095,0.32,0.118,0.065,0.123,7
"1081",1081,"M",0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7
"3239",3240,"F",0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15
"314",314,"F",0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23
"3384",3385,"F",0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,7
"1801",1802,"M",0.605,0.475,0.15,1.15,0.575,0.232,0.297,10
"417",417,"F",0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
"1272",1273,"I",0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,8
"3194",3195,"F",0.61,0.47,0.16,1.017,0.426,0.2255,0.32,12
"1056",1056,"I",0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4
"2238",2239,"I",0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8
"3188",3189,"M",0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16
"272",272,"M",0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16
"2677",2678,"F",0.615,0.475,0.17,1.055,0.543,0.246,0.2345,9
"2661",2662,"M",0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9
"1766",1767,"F",0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
"1663",1664,"M",0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
"2139",2140,"M",0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14
"3532",3533,"I",0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7
"877",877,"M",0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9
"844",844,"M",0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
"1597",1598,"I",0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10
"1268",1269,"I",0.465,0.34,0.11,0.346,0.1425,0.073,0.113,11
"3285",3286,"F",0.665,0.57,0.185,1.522,0.6965,0.3025,0.405,13
"673",673,"F",0.53,0.41,0.165,0.8115,0.24,0.169,0.24,19
"1873",1874,"I",0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9
"1631",1632,"I",0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12
"2141",2142,"I",0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7
"2489",2490,"M",0.49,0.39,0.135,0.592,0.242,0.096,0.1835,15
"3711",3712,"M",0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,11
"881",881,"M",0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11
"913",913,"I",0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7
"3020",3021,"I",0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
"3151",3152,"F",0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21
"430",430,"F",0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,18
"3648",3649,"I",0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,9
"558",558,"F",0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12
"544",544,"M",0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,8
"3991",3992,"M",0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9
"1918",1919,"F",0.6,0.465,0.16,1.133,0.466,0.2885,0.298,11
"4086",4088,"I",0.595,0.475,0.155,0.984,0.4865,0.184,0.2755,10
"1317",1318,"I",0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,10
"2494",2495,"M",0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,9
"1178",1178,"F",0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10
"1328",1329,"I",0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,10
"559",559,"F",0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13
"2488",2489,"M",0.5,0.385,0.145,0.7615,0.246,0.195,0.204,14
"699",699,"F",0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13
"3601",3602,"I",0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8
"3387",3388,"M",0.545,0.41,0.145,0.873,0.3035,0.196,0.31,18
"3559",3560,"F",0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10
"2729",2730,"I",0.405,0.305,0.1,0.268,0.1145,0.053,0.085,7
"1396",1397,"M",0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,11
"2943",2944,"F",0.63,0.485,0.185,1.167,0.548,0.2485,0.34,10
"43",43,"I",0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
"3542",3543,"I",0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8
"3742",3743,"F",0.695,0.525,0.205,1.8185,0.819,0.4025,0.4525,13
"1346",1347,"M",0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8
"2814",2815,"I",0.275,0.2,0.055,0.0925,0.038,0.021,0.026,4
"2983",2984,"F",0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8
"2655",2656,"M",0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,7
"1790",1791,"F",0.55,0.38,0.165,1.205,0.543,0.294,0.3345,10
"3825",3826,"M",0.625,0.47,0.17,1.1665,0.4605,0.2565,0.3945,11
"1158",1158,"F",0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
"2612",2613,"F",0.635,0.495,0.18,1.596,0.617,0.317,0.37,11
"3091",3092,"M",0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10
"1633",1634,"I",0.575,0.425,0.135,0.7965,0.364,0.196,0.239,10
"1933",1934,"M",0.62,0.495,0.195,1.5145,0.579,0.346,0.5195,15
"3845",3846,"M",0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
"538",538,"M",0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7
"1293",1294,"I",0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10
"1522",1523,"M",0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,11
"320",320,"I",0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6
"3496",3497,"M",0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8
"3142",3143,"I",0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5
"3295",3296,"M",0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14
"3505",3506,"M",0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
"3809",3810,"F",0.52,0.375,0.135,0.5375,0.221,0.117,0.17,8
"1418",1419,"M",0.705,0.555,0.215,2.141,1.0465,0.383,0.528,11
"4021",4023,"M",0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,11
"393",393,"F",0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10
"2999",3000,"F",0.635,0.525,0.18,1.3695,0.634,0.318,0.363,11
"2766",2767,"F",0.555,0.445,0.175,1.1465,0.551,0.244,0.2785,8
"195",195,"F",0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10
"1802",1803,"F",0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11
"3440",3441,"I",0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7
"156",156,"M",0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
"1098",1098,"I",0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
"1870",1871,"I",0.53,0.43,0.14,0.677,0.298,0.0965,0.23,8
"3934",3935,"I",0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,5
"986",986,"M",0.57,0.45,0.155,1.1935,0.513,0.21,0.343,10
"1579",1580,"I",0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
"4112",4114,"I",0.56,0.42,0.14,0.837,0.414,0.214,0.2,8
"3514",3515,"M",0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10
"3878",3879,"M",0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10
"261",261,"F",0.54,0.475,0.155,0.928,0.394,0.194,0.26,11
"4014",4016,"M",0.635,0.48,0.145,1.181,0.665,0.229,0.225,10
"1648",1649,"M",0.59,0.49,0.165,1.207,0.559,0.235,0.309,10
"1379",1380,"F",0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,10
"634",634,"I",0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,9
"202",202,"M",0.5,0.4,0.165,0.825,0.254,0.205,0.285,13
"2448",2449,"F",0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,7
"2151",2152,"F",0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,18
"3671",3672,"I",0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10
"2245",2246,"M",0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9
"242",242,"I",0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
"603",603,"F",0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
"3806",3807,"I",0.425,0.31,0.095,0.3505,0.1645,0.071,0.1,8
"8",8,"F",0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
"1639",1640,"I",0.575,0.45,0.135,0.807,0.3615,0.176,0.254,10
"969",969,"M",0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8
"3482",3483,"I",0.47,0.355,0.145,0.4485,0.156,0.102,0.123,7
"2656",2657,"M",0.545,0.42,0.12,0.7865,0.403,0.185,0.17,7
"605",605,"I",0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12
"3714",3715,"F",0.725,0.56,0.185,1.792,0.873,0.367,0.435,11
"2559",2560,"I",0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,7
"1708",1709,"M",0.645,0.5,0.19,1.5595,0.741,0.3715,0.3845,14
"3538",3539,"M",0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
"2639",2640,"I",0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,6
"1471",1472,"M",0.53,0.4,0.125,0.7575,0.398,0.151,0.175,8
"436",436,"M",0.5,0.41,0.15,0.662,0.2815,0.137,0.22,11
"889",889,"F",0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
"3195",3196,"F",0.545,0.405,0.175,0.98,0.2585,0.207,0.38,18
"1613",1614,"I",0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12
"1841",1842,"I",0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,7
"2558",2559,"I",0.405,0.31,0.065,0.3205,0.1575,0.066,0.088,6
"2810",2811,"M",0.72,0.55,0.205,2.165,1.1055,0.525,0.404,10
"575",575,"I",0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10
"3138",3139,"M",0.51,0.4,0.14,0.6905,0.259,0.151,0.23,10
"3748",3749,"I",0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6
"2172",2173,"I",0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5
"1854",1855,"I",0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8
"701",701,"M",0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12
"7",7,"F",0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
"4133",4135,"F",0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9
"495",495,"M",0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17
"84",84,"M",0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
"3460",3461,"M",0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
"1079",1079,"I",0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6
"606",606,"I",0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13
"1470",1471,"I",0.53,0.43,0.13,0.7045,0.346,0.1415,0.189,9
"3937",3938,"M",0.53,0.425,0.11,0.739,0.237,0.161,0.295,13
"3800",3801,"M",0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,12
"3921",3922,"M",0.375,0.28,0.095,0.2225,0.0875,0.043,0.08,10
"3112",3113,"I",0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7
"203",203,"F",0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12
"2037",2038,"I",0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,5
"2529",2530,"F",0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,8
"2418",2419,"F",0.465,0.35,0.13,0.494,0.1945,0.103,0.155,18
"2436",2437,"M",0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23
"1734",1735,"M",0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,12
"3771",3772,"I",0.575,0.45,0.145,0.795,0.364,0.1505,0.26,10
"1476",1477,"F",0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,9
"3117",3118,"F",0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385,8
"2775",2776,"I",0.585,0.46,0.145,0.8465,0.339,0.167,0.295,10
"1953",1954,"M",0.64,0.49,0.155,1.1285,0.477,0.269,0.34,9
"4161",4163,"M",0.385,0.255,0.1,0.3175,0.137,0.068,0.092,8
"1712",1713,"F",0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,9
"30",30,"M",0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11
"2666",2667,"M",0.58,0.455,0.13,0.852,0.41,0.1725,0.225,8
"2624",2625,"M",0.765,0.585,0.18,2.398,1.128,0.512,0.5335,12
"686",686,"M",0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15
"2364",2365,"F",0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15
"1983",1984,"F",0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11
"1227",1227,"I",0.35,0.27,0.075,0.215,0.1,0.036,0.065,6
"2333",2334,"M",0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13
"3031",3032,"I",0.525,0.4,0.11,0.6275,0.3015,0.126,0.18,8
"3831",3832,"F",0.545,0.42,0.175,0.754,0.256,0.1775,0.275,10
"3953",3954,"I",0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8
"469",469,"F",0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17
"1417",1418,"M",0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,10
"3388",3389,"M",0.74,0.535,0.185,1.65,0.734,0.4505,0.335,13
"2936",2937,"M",0.625,0.495,0.175,1.2075,0.531,0.281,0.3525,11
"4140",4142,"F",0.65,0.505,0.165,1.357,0.5725,0.281,0.43,11
"3492",3493,"M",0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8
"3624",3625,"F",0.665,0.5,0.175,1.4355,0.643,0.345,0.37,9
"2211",2212,"M",0.565,0.47,0.195,1.142,0.387,0.258,0.35,17
"108",108,"F",0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10
"1226",1226,"I",0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
"1012",1012,"F",0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10
"3920",3921,"M",0.295,0.23,0.085,0.125,0.042,0.0285,0.043,8
"158",158,"M",0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
"1348",1349,"M",0.59,0.47,0.18,1.187,0.5985,0.227,0.31,9
"3643",3644,"I",0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8
"632",632,"F",0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
"2261",2262,"M",0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11
"1447",1448,"M",0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8
"3473",3474,"I",0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4
"2374",2375,"I",0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,12
"1194",1194,"M",0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
"716",716,"I",0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,7
"4058",4060,"M",0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
"3615",3616,"M",0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9
"1377",1378,"M",0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
"2039",2040,"I",0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,6
"2657",2658,"F",0.545,0.4,0.14,0.778,0.368,0.215,0.18,9
"3157",3158,"F",0.43,0.35,0.09,0.397,0.1575,0.089,0.12,9
"2074",2075,"F",0.585,0.485,0.15,1.079,0.4145,0.2115,0.356,11
"40",40,"M",0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9
"3283",3284,"F",0.59,0.475,0.155,0.9715,0.371,0.235,0.28,11
"2791",2792,"M",0.625,0.5,0.14,1.096,0.5445,0.2165,0.295,10
"1385",1386,"I",0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11
"341",341,"M",0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14
"180",180,"M",0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11
"2971",2972,"M",0.715,0.55,0.175,1.825,0.938,0.3805,0.44,11
"3740",3741,"F",0.65,0.5,0.17,1.4045,0.694,0.318,0.3235,11
"2367",2368,"M",0.65,0.545,0.16,1.2425,0.487,0.296,0.48,15
"481",481,"F",0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29
"1235",1235,"I",0.375,0.29,0.095,0.213,0.096,0.041,0.061,5
"2642",2643,"I",0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7
"3277",3278,"F",0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15
"2514",2515,"I",0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8
"872",872,"F",0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
"2324",2325,"F",0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17
"1013",1013,"M",0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
"3454",3455,"F",0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8
"572",572,"I",0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,14
"1508",1509,"M",0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,11
"908",908,"I",0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6
"340",340,"F",0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15
"2981",2982,"F",0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
"1892",1893,"M",0.565,0.45,0.16,0.895,0.415,0.195,0.246,9
"2404",2405,"I",0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15
"1469",1470,"M",0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
"3655",3656,"M",0.53,0.41,0.125,0.769,0.346,0.173,0.215,9
"2652",2653,"I",0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9
"1252",1252,"I",0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6
"3411",3412,"I",0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,7
"3608",3609,"M",0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7
"127",127,"I",0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
"2142",2143,"I",0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9
"1491",1492,"F",0.605,0.515,0.17,1.289,0.6,0.2945,0.3315,9
"276",276,"M",0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22
"1895",1896,"M",0.57,0.455,0.155,0.832,0.3585,0.174,0.277,11
"3452",3453,"F",0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8
"2542",2543,"F",0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095,14
"1985",1986,"M",0.76,0.605,0.215,2.173,0.801,0.4915,0.646,13
"871",871,"M",0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12
"2788",2789,"F",0.615,0.46,0.15,1.0265,0.4935,0.201,0.2745,10
"2336",2337,"F",0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18
"2974",2975,"M",0.745,0.575,0.2,1.884,0.954,0.336,0.495,12
"2322",2323,"M",0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12
"1718",1719,"M",0.65,0.505,0.19,1.274,0.59,0.23,0.391,11
"1772",1773,"I",0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
"1359",1360,"M",0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10
"1611",1612,"M",0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,10
"2911",2912,"F",0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11
"3320",3321,"F",0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,16
"4069",4071,"I",0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7
"2679",2680,"F",0.615,0.47,0.155,1.084,0.5885,0.209,0.246,9
"3485",3486,"I",0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7
"4026",4028,"I",0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,6
"4106",4108,"I",0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7
"1406",1407,"F",0.655,0.52,0.19,1.4545,0.6,0.3865,0.383,10
"3393",3394,"M",0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10
"381",381,"M",0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
"3333",3334,"I",0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
"1234",1234,"I",0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6
"1900",1901,"M",0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9
"1920",1921,"F",0.605,0.455,0.145,0.862,0.334,0.1985,0.3,9
"2546",2547,"I",0.225,0.17,0.07,0.0565,0.024,0.013,0.016,4
"1445",1446,"I",0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6
"3784",3785,"M",0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,11
"1211",1211,"I",0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
"2230",2231,"M",0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13
"205",205,"M",0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
"3028",3029,"I",0.515,0.385,0.125,0.572,0.237,0.1435,0.165,7
"756",756,"M",0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13
"1917",1918,"M",0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,10
"485",485,"M",0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12
"1154",1154,"F",0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9
"2205",2206,"I",0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6
"909",909,"I",0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,7
"2253",2254,"F",0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11
"1723",1724,"F",0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12
"3327",3328,"I",0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16
"3040",3041,"F",0.57,0.47,0.14,0.871,0.385,0.211,0.2315,10
"1315",1316,"I",0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,9
"1114",1114,"I",0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8
"2935",2936,"M",0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,10
"1600",1601,"I",0.535,0.4,0.13,0.657,0.2835,0.162,0.175,7
"1119",1119,"I",0.535,0.39,0.125,0.599,0.2595,0.149,0.169,9
"4107",4109,"I",0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7
"230",230,"F",0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15
"2439",2440,"F",0.345,0.255,0.1,0.197,0.071,0.051,0.06,9
"2363",2364,"M",0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18
"3198",3199,"M",0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
"1067",1067,"I",0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6
"3296",3297,"F",0.605,0.485,0.165,1.0735,0.437,0.205,0.33,14
"714",714,"M",0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8
"2798",2799,"M",0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,10
"793",793,"M",0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
"3895",3896,"F",0.595,0.5,0.18,1.053,0.4405,0.192,0.39,13
"3042",3043,"I",0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8
"4040",4042,"I",0.575,0.45,0.15,0.858,0.449,0.166,0.215,10
"3322",3323,"F",0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15
"2383",2384,"F",0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16
"2972",2973,"M",0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13
"1275",1276,"I",0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9
"1382",1383,"F",0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9
"4145",4147,"M",0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10
"335",335,"F",0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16
"682",682,"M",0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10
"2069",2070,"M",0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9
"3880",3881,"I",0.38,0.3,0.1,0.286,0.1305,0.056,0.09,7
"3050",3051,"M",0.595,0.47,0.175,0.991,0.382,0.2395,0.5,12
"1307",1308,"I",0.545,0.435,0.135,0.7715,0.372,0.148,0.227,8
"2808",2809,"F",0.705,0.54,0.205,1.757,0.8265,0.417,0.461,9
"3556",3557,"I",0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9
"2190",2191,"M",0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11
"1253",1253,"I",0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
"2064",2065,"M",0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8
"3207",3208,"I",0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15
"700",700,"F",0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16
"1295",1296,"I",0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,9
"2354",2355,"M",0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11
"2693",2694,"M",0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,9
"1830",1831,"I",0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7
"2901",2902,"I",0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,8
"1846",1847,"I",0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7
